T(K)	Sample Top T(K)	Freq(Hz)	X(nF/cm^2)	Y(nS/cm^2 ?)
340	335.28	10000.0	4.717198	-2.506911
340	335.28	13894.954943731389	4.413517	-1.931361
340	335.28	19306.977288832495	4.153133	-1.499501
340	335.28	26826.957952797275	3.922573	-1.185915
340	335.28	37275.93720314938	3.724377	-0.957403
340	335.28	51794.74679231213	3.547888	-0.794289
340	335.28	71968.56730011514	3.390016	-0.677289
340	335.28	100000.0	3.248838	-0.595692
320	317.91	10000.0	3.647993	-0.947418
320	317.91	13894.954943731389	3.460918	-0.772388
320	317.91	19306.977288832495	3.29765	-0.639838
320	317.91	26826.957952797275	3.157112	-0.548417
320	317.91	37275.93720314938	3.031679	-0.481369
320	317.91	51794.74679231213	2.916991	-0.43175
320	317.91	71968.56730011514	2.812698	-0.39734
320	317.91	100000.0	2.716925	-0.370375
300	300.72	10000.0	2.953221	-0.45177
300	300.72	13894.954943731389	2.840975	-0.400405
300	300.72	19306.977288832495	2.74204	-0.357422
300	300.72	26826.957952797275	2.650891	-0.327759
300	300.72	37275.93720314938	2.569702	-0.303141
300	300.72	51794.74679231213	2.495836	-0.282946
300	300.72	71968.56730011514	2.429265	-0.268158
300	300.72	100000.0	2.367929	-0.254306
280	282.58	10000.0	2.475863	-0.266927
280	282.58	13894.954943731389	2.408891	-0.246796
280	282.58	19306.977288832495	2.352457	-0.227301
280	282.58	26826.957952797275	2.298609	-0.21316
280	282.58	37275.93720314938	2.25295	-0.200444
280	282.58	51794.74679231213	2.209784	-0.189435
280	282.58	71968.56730011514	2.172997	-0.183306
280	282.58	100000.0	2.138265	-0.178294
260	264.6	10000.0	2.163129	-0.162818
260	264.6	13894.954943731389	2.133279	-0.154729
260	264.6	19306.977288832495	2.102824	-0.146141
260	264.6	26826.957952797275	2.076076	-0.140294
260	264.6	37275.93720314938	2.050809	-0.137137
260	264.6	51794.74679231213	2.027993	-0.136478
260	264.6	71968.56730011514	2.004987	-0.137866
260	264.6	100000.0	1.982818	-0.141689
240	246.9	10000.0	2.012871	-0.112362
240	246.9	13894.954943731389	1.995977	-0.113311
240	246.9	19306.977288832495	1.977619	-0.112599
240	246.9	26826.957952797275	1.95975	-0.115005
240	246.9	37275.93720314938	1.941113	-0.119159
240	246.9	51794.74679231213	1.922603	-0.125266
240	246.9	71968.56730011514	1.903473	-0.134606
240	246.9	100000.0	1.881696	-0.144101
220	229.47	10000.0	1.924396	-0.110772
220	229.47	13894.954943731389	1.907364	-0.1199
220	229.47	19306.977288832495	1.889687	-0.129715
220	229.47	26826.957952797275	1.868051	-0.14145
220	229.47	37275.93720314938	1.846118	-0.156348
220	229.47	51794.74679231213	1.820509	-0.173905
220	229.47	71968.56730011514	1.790684	-0.197229
220	229.47	100000.0	1.755008	-0.221435
200	212.44	10000.0	1.83189	-0.134642
200	212.44	13894.954943731389	1.808044	-0.149492
200	212.44	19306.977288832495	1.779185	-0.160844
200	212.44	26826.957952797275	1.746274	-0.177705
200	212.44	37275.93720314938	1.708507	-0.193465
200	212.44	51794.74679231213	1.665349	-0.209298
200	212.44	71968.56730011514	1.620114	-0.219506
200	212.44	100000.0	1.570274	-0.231839
180	194.8	10000.0	1.671072	-0.179051
180	194.8	13894.954943731389	1.626566	-0.184295
180	194.8	19306.977288832495	1.582324	-0.183707
180	194.8	26826.957952797275	1.535859	-0.180819
180	194.8	37275.93720314938	1.493442	-0.174372
180	194.8	51794.74679231213	1.450593	-0.165713
180	194.8	71968.56730011514	1.412451	-0.156046
180	194.8	100000.0	1.377385	-0.144519
160	177.77	10000.0	1.419611	-0.142186
160	177.77	13894.954943731389	1.385439	-0.129305
160	177.77	19306.977288832495	1.357291	-0.114544
160	177.77	26826.957952797275	1.327504	-0.098053
160	177.77	37275.93720314938	1.307524	-0.0845
160	177.77	51794.74679231213	1.290604	-0.070346
160	177.77	71968.56730011514	1.278572	-0.061454
160	177.77	100000.0	1.269499	-0.053721
140	160.91	10000.0	1.265595	-0.044656
140	160.91	13894.954943731389	1.257991	-0.037643
140	160.91	19306.977288832495	1.252808	-0.031951
140	160.91	26826.957952797275	1.24979	-0.027067
140	160.91	37275.93720314938	1.246484	-0.023678
140	160.91	51794.74679231213	1.244643	-0.0234
140	160.91	71968.56730011514	1.24421	-0.024595
140	160.91	100000.0	1.243541	-0.027406
120	145.36	10000.0	1.237762	-0.008663
120	145.36	13894.954943731389	1.236464	-0.008274
120	145.36	19306.977288832495	1.236275	-0.007002
120	145.36	26826.957952797275	1.235176	-0.006919
120	145.36	37275.93720314938	1.235375	-0.006952
120	145.36	51794.74679231213	1.235079	-0.008638
120	145.36	71968.56730011514	1.235308	-0.010107
120	145.36	100000.0	1.235139	-0.012419
